NAME              STATUS        AGE
argocd            Active        13h
cert-manager      Active        13h
cilium-secrets    Active        13h
cloudflared       Active        13h
csi-proxmox       Active        13h
default           Active        13h
gateway           Active        13h
jaeger-system     Active        13h
kube-node-lease   Active        13h
kube-public       Active        13h
kube-system       Active        13h
monitoring        Active        13h
observability     Active        13h
rook-ceph         Terminating   13h
sealed-secrets    Active        13h
velero            Active        12h
